error_model,detection_outcome,avg_err,diff_vals_count
RANDOM_VALUE,TRUE_POSITIVE,2.63135741150230155339e-07,8486370
RANDOM_VALUE,TRUE_POSITIVE,2.65790942021538594223e-06,16777216
RANDOM_VALUE,TRUE_POSITIVE,1.00000000000000000000e+00,1
RANDOM_VALUE,TRUE_POSITIVE,7.17132859931279061788e-04,512
RANDOM_VALUE,TRUE_POSITIVE,1.05737531666527990082e-05,9591143
RANDOM_VALUE,TRUE_POSITIVE,3.89482928440551955548e+204,16777216
RANDOM_VALUE,TRUE_POSITIVE,5.14065933467352045157e+114,16777216
RANDOM_VALUE,TRUE_POSITIVE,2.03847835424209579091e+282,2048
RANDOM_VALUE,TRUE_POSITIVE,2.88873429278664784156e+75,16777216
RANDOM_VALUE,TRUE_POSITIVE,7.32638870281231003180e+92,8192
RANDOM_VALUE,TRUE_POSITIVE,8.35211433461458214126e+166,16777216
RANDOM_VALUE,TRUE_POSITIVE,4.43878600791567260527e-06,16777216
RANDOM_VALUE,TRUE_POSITIVE,3.69601394799013909466e+148,16
RANDOM_VALUE,TRUE_POSITIVE,1.07335201347912758803e+219,512
RANDOM_VALUE,TRUE_POSITIVE,1.61371783561654824831e+53,16777216
RANDOM_VALUE,TRUE_POSITIVE,7.14385953538417766989e+212,16777216
RANDOM_VALUE,TRUE_POSITIVE,7.15844966575498904930e-08,7554591
RANDOM_VALUE,TRUE_POSITIVE,9.97641713866305910002e-06,9184176
RANDOM_VALUE,TRUE_POSITIVE,7.32415218127870204540e+200,4096
RANDOM_VALUE,TRUE_POSITIVE,1.19874774390858818920e+297,16777216
RANDOM_VALUE,TRUE_POSITIVE,8.15418060910664852025e+90,16777216
RANDOM_VALUE,TRUE_POSITIVE,2.09831891203996458514e-06,16777216
RANDOM_VALUE,TRUE_POSITIVE,3.49121520727595571754e-05,256
RANDOM_VALUE,TRUE_POSITIVE,6.88505665883430167685e-06,16777216
RANDOM_VALUE,TRUE_POSITIVE,1.90318178367475315124e-06,9406790
RANDOM_VALUE,TRUE_POSITIVE,2.54262764112963080008e+161,16777216
RANDOM_VALUE,TRUE_POSITIVE,2.05863070383222555037e+34,32
RANDOM_VALUE,TRUE_POSITIVE,8.79506663918960883246e-06,131072
RANDOM_VALUE,TRUE_POSITIVE,2.00343053088766451816e-05,16777216
RANDOM_VALUE,TRUE_POSITIVE,3.69134625184272724981e-08,6947623
RANDOM_VALUE,TRUE_POSITIVE,2.01067474914490448014e-07,8218361
RANDOM_VALUE,TRUE_POSITIVE,2.31329282632710130389e-05,16777216
RANDOM_VALUE,TRUE_POSITIVE,9.56673955667509490295e-05,524288
RANDOM_VALUE,TRUE_POSITIVE,1.47340649568535627540e-06,6208727
RANDOM_VALUE,TRUE_POSITIVE,2.03758428889091552454e+148,4
RANDOM_VALUE,TRUE_POSITIVE,4.02752850566694057715e-08,10523225
RANDOM_VALUE,TRUE_POSITIVE,1.50298140327201475880e+172,8388608
RANDOM_VALUE,TRUE_POSITIVE,2.92275152938084026609e+149,65536
RANDOM_VALUE,TRUE_POSITIVE,3.45061916651169524092e+53,16777216
RANDOM_VALUE,TRUE_POSITIVE,4.26487645645911434000e-02,16777216
RANDOM_VALUE,TRUE_POSITIVE,6.57817032737681720571e+194,512
RANDOM_VALUE,TRUE_POSITIVE,2.14288198414287617277e-02,8
RANDOM_VALUE,TRUE_POSITIVE,1.90873833072072043740e-07,15783552
RANDOM_VALUE,TRUE_POSITIVE,1.48081898557644470070e+136,16777216
RANDOM_VALUE,TRUE_POSITIVE,1.05445500148310492887e+45,16777216
RANDOM_VALUE,TRUE_POSITIVE,4.59541571688410749585e-06,16777216
RANDOM_VALUE,TRUE_POSITIVE,2.91300397245642118228e+272,16777216
RANDOM_VALUE,TRUE_POSITIVE,7.52212579227214617634e+100,16777216
RANDOM_VALUE,TRUE_POSITIVE,2.24084510305655132615e+274,16777216
RANDOM_VALUE,TRUE_POSITIVE,3.79211090596637789115e+258,16777216
RANDOM_VALUE,TRUE_POSITIVE,8.71109855022136332361e-08,4853775
RANDOM_VALUE,TRUE_POSITIVE,3.26229627706239212583e+92,128
RANDOM_VALUE,TRUE_POSITIVE,5.48323283116129722127e+209,16777216
RANDOM_VALUE,TRUE_POSITIVE,6.60120155582657628259e+272,16777216
RANDOM_VALUE,TRUE_POSITIVE,7.51404799750835583783e-07,16777216
RANDOM_VALUE,TRUE_POSITIVE,1.03735557583596714103e+280,16777216
RANDOM_VALUE,TRUE_POSITIVE,2.21507045126801036369e+39,16777216
RANDOM_VALUE,TRUE_POSITIVE,4.56802137752971488879e+294,16
RANDOM_VALUE,TRUE_POSITIVE,1.55801419627361203763e+45,16777216
RANDOM_VALUE,TRUE_POSITIVE,4.74126473005932766161e-07,16777216
RANDOM_VALUE,TRUE_POSITIVE,5.13285824321308245599e+76,16777216
RANDOM_VALUE,TRUE_POSITIVE,4.93393374764746251416e+190,16777216
RANDOM_VALUE,TRUE_POSITIVE,6.24495367922163266004e-06,7312754
RANDOM_VALUE,TRUE_POSITIVE,5.99220334809274148978e-06,16777216
RANDOM_VALUE,TRUE_POSITIVE,7.69966038755296039442e-02,16777216
RANDOM_VALUE,TRUE_POSITIVE,4.48674297960744029679e+140,16777216
RANDOM_VALUE,TRUE_POSITIVE,2.90795288737366042214e+21,16777216
RANDOM_VALUE,TRUE_POSITIVE,1.25588535913136279720e-06,16777216
RANDOM_VALUE,TRUE_POSITIVE,2.76147858550384487431e+97,64
RANDOM_VALUE,TRUE_POSITIVE,3.42626804176572109471e+161,16777216
RANDOM_VALUE,TRUE_POSITIVE,4.35769058157775376973e+185,16777216
RANDOM_VALUE,TRUE_POSITIVE,9.45196302942301631907e+243,16777216
RANDOM_VALUE,TRUE_POSITIVE,3.59705701581574180392e-05,128
RANDOM_VALUE,TRUE_POSITIVE,2.66280999287864332814e+01,16777216
RANDOM_VALUE,TRUE_POSITIVE,7.12169375448103189283e+232,16777216
RANDOM_VALUE,TRUE_POSITIVE,9.72416235109862342656e+20,16777216
RANDOM_VALUE,TRUE_POSITIVE,4.60196623847837612344e-06,16777216
RANDOM_VALUE,TRUE_POSITIVE,8.67076115942328807563e-05,524288
