==========================================================================
=== Magnitude of the SDCs (relative errors) ==============================
==========================================================================
> TRUE_POSITIVE
    * MAX: 3.04375351023455920085e-06; MIN: 1.61907157736340678866e-06; AVG: 2.09831891203996458514e-06
    * MAX: 4.10567774942194319010e-05; MIN: 3.00939321700166573237e-05; AVG: 3.49121520727595571754e-05
    * MAX: 1.93530841390288088633e-05; MIN: 3.45688021541334933318e-07; AVG: 6.88505665883430167685e-06
    * MAX: 1.11689325881236811711e-05; MIN: 1.11022302462515654042e-16; AVG: 1.90318178367475315124e-06
    * MAX: 1.79978855141186128064e+162; MIN: 9.66372637832499185601e+155; AVG: 2.54262764112963080008e+161
    * MAX: 2.13593596453364291772e+34; MIN: 1.94398831664979919687e+34; AVG: 2.05863070383222555037e+34
    * MAX: 1.13621016393228302377e-05; MIN: 7.21075758070011119116e-06; AVG: 8.79506663918960883246e-06
    * MAX: 5.72855201719235651581e-05; MIN: 1.12369943738865885052e-06; AVG: 2.00343053088766451816e-05
    * MAX: 2.82559127072978810702e-04; MIN: 1.11022302462515654042e-16; AVG: 3.69134625184272724981e-08
    * MAX: 1.86956462176890436666e-03; MIN: 1.11022302462515654042e-16; AVG: 2.01067474914490448014e-07
    * MAX: 9.75956957138812697394e-05; MIN: 6.06446926010306697208e-09; AVG: 2.31329282632710130389e-05
    * MAX: 1.29472207083036749964e-04; MIN: 7.44340884404337543856e-05; AVG: 9.56673955667509490295e-05
    * MAX: 3.49576263413808874247e-04; MIN: 1.11022302462515654042e-16; AVG: 1.47340649568535627540e-06
    * MAX: 2.10866017383142173151e+148; MIN: 1.96903259849191424114e+148; AVG: 2.03758428889091552454e+148
    * MAX: 3.45688905586338801612e-03; MIN: 1.11022302462515654042e-16; AVG: 4.02752850566694057715e-08
    * MAX: 2.18026672389448724687e+172; MIN: 1.16482486983558966157e+172; AVG: 1.50298140327201475880e+172
    * MAX: 3.81794618515128457642e+149; MIN: 2.38011323996100365423e+149; AVG: 2.92275152938084026609e+149
    * MAX: 4.24355985471880412368e+56; MIN: 1.00000000000000000000e+00; AVG: 3.45061916651169524092e+53
    * MAX: 2.86928113025816777792e-01; MIN: 6.55885082023743848367e-07; AVG: 4.26487645645911434000e-02
    * MAX: 7.29994337709966053833e+194; MIN: 5.67107938465219402674e+194; AVG: 6.57817032737681720571e+194
    * MAX: 2.25506734969140865132e-02; MIN: 2.05420290572155828102e-02; AVG: 2.14288198414287617277e-02
    * MAX: 1.23522791144605736946e-02; MIN: 1.11022302462515654042e-16; AVG: 1.90873833072072043740e-07
    * MAX: 7.27138199193957439989e+139; MIN: 1.00000000000000000000e+00; AVG: 1.48081898557644470070e+136
    * MAX: 2.02299942593825776488e+45; MIN: 3.63601867574568018802e+44; AVG: 1.05445500148310492887e+45
    * MAX: 8.81491955628810330836e-06; MIN: 2.40274307972132561417e-06; AVG: 4.59541571688410749585e-06
    * MAX: 3.67048739819397316834e+275; MIN: 1.00000000000000000000e+00; AVG: 2.91300397245642118228e+272
    * MAX: 4.23715165415215268130e+101; MIN: 4.81969889561016920001e+96; AVG: 7.52212579227214617634e+100
    * MAX: 1.53841382414352411857e+275; MIN: 2.85263444981231724043e+269; AVG: 2.24084510305655132615e+274
    * MAX: 5.50071336400914871959e+258; MIN: 2.92600850629791580927e+258; AVG: 3.79211090596637789115e+258
    * MAX: 9.21873584706411897116e-04; MIN: 1.11022302462515654042e-16; AVG: 8.71109855022136332361e-08
    * MAX: 3.47315075927140233747e+92; MIN: 3.06878809990089343011e+92; AVG: 3.26229627706239212583e+92
