==========================================================================
=== Magnitude of the SDCs (relative errors) ==============================
==========================================================================
> TRUE_POSITIVE
    * MAX: 2.55970763043794086763e+304; MIN: 1.53681807533435682960e+304; AVG: 
    * MAX: 1.46367858564255826082e-04; MIN: 8.28187249718448370572e-05; AVG: 1.06059013822337462173e-04
    * MAX: 1.36104030913575257955e-04; MIN: 1.11022302462515654042e-16; AVG: 9.61620343672575233326e-09
    * MAX: 2.82308953153953545723e-04; MIN: 2.03454284673609819833e-04; AVG: 2.37682914498640570147e-04
    * MAX: 1.11744938013913497343e-06; MIN: 8.46301344226141338822e-07; AVG: 9.60279718677302211727e-07
    * MAX: 4.40579234134275132817e-03; MIN: 3.87419646466935496676e-03; AVG: 4.12133015342697195393e-03
    * MAX: 8.33472983285954427402e-06; MIN: 1.11022302462515654042e-16; AVG: 3.14850093510577826752e-10
    * MAX: 1.98364270496131922528e-05; MIN: 1.28040395463990819280e-06; AVG: 5.40805975439502764098e-06
    * MAX: 4.36971540788811762468e+04; MIN: 2.32439387539052804641e+04; AVG: 3.01241754617526676157e+04
    * MAX: 8.77520547135857142962e-04; MIN: 6.24748054990909018613e-04; AVG: 7.32435169553822835314e-04
    * MAX: 3.41132442205349661890e-06; MIN: 2.05260945018714835442e-07; AVG: 1.01829841941857164262e-06
    * MAX: 8.72205279023319235421e-06; MIN: 2.72966793612994251816e-08; AVG: 3.27143818229383439937e-06
    * MAX: 2.61964837530181187994e+305; MIN: 2.25539065237126526530e+305; AVG: 2.39974659242446388103e+305
    * MAX: 7.58626607330059599121e-05; MIN: 5.15139291914490371482e-05; AVG: 6.25125334060564396763e-05
    * MAX: 3.37222577195817052598e-07; MIN: 1.88884335949879300642e-07; AVG: 2.44826492912420856085e-07
    * MAX: 6.95180403247341871520e-05; MIN: 1.11022302462515654042e-16; AVG: 2.37893019085354822760e-09
    * MAX: 9.44511826361793538354e-05; MIN: 3.87477338437136609173e-07; AVG: 2.09344661971450697905e-05
    * MAX: 4.39850266395132027952e-02; MIN: 1.81632553442057087523e-09; AVG: 1.06943010037805538021e-02
    * MAX: 6.13559807627339637293e-07; MIN: 2.25338745440950560806e-08; AVG: 2.27685171360927093438e-07
    * MAX: 7.57838742873051529614e-05; MIN: 5.30430346320498458113e-05; AVG: 6.33541254328534521496e-05
    * MAX: 2.22859877735626099593e-03; MIN: 1.94438739238145252841e-03; AVG: 2.09150622248373361384e-03
    * MAX: 1.47498834557335811724e-05; MIN: 1.02282170940659611347e-05; AVG: 1.20947693847838795697e-05
    * MAX: 2.86289383812921016670e-05; MIN: 5.55745770736137956192e-06; AVG: 1.34694151266399056243e-05
