benchmark,error_model,detection_outcome,relative_sum
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,0.17143055873143012
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,3.0126670697323688
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,2.484401997791691e+143
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.769081932216237e+52
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,77.09828209195952
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,4.887209685475946e+279
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.2620032919612095e+108
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,3.759514231652205e+281
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,6.362106376535362e+265
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,0.42281712365600704
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,4.175739234639863e+94
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,9.199338158668461e+216
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.1074978436163857e+280
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,12.606480628856511
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.7403938564604415e+287
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,3.7162715416140884e+46
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,7.308834204047548e+295
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,2.613914070194879e+52
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,7.954522248938702
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,8.611507144376642e+83
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,8.277767221397101e+197
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,45.66780999754272
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,100.53248988687511
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1291788.6544861973
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,7.527505610535764e+147
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,4.8787353709291565e+28
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,21.07025994138445
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.7673462947224612e+99
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,5.748323901060054e+168
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,7.310991614829562e+192
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.5857762536864433e+251
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,0.004604232980244149
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,446745384.17483467
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.1948219440477928e+240
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.6314437218344946e+28
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,77.20818160765923
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,45.45976026751717
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,0.2804905136795309
