==========================================================================
=== Magnitude of the SDCs (relative errors) ==============================
==========================================================================
> TRUE_POSITIVE
    * MAX: 6.05740947079436153899e-05; MIN: 3.42743915177079472301e-05; AVG: 4.38595182555473109666e-05
    * MAX: 4.16609323892371416092e+09; MIN: 1.73878524884798079729e+08; AVG: 1.55942275501954531670e+09
    * MAX: 3.31412411380682669915e-06; MIN: 1.76757897207835412701e-09; AVG: 9.53284934121279369980e-07
    * MAX: 7.06584035829634476854e+24; MIN: 1.00000000000000000000e+00; AVG: 3.22268241824673100202e+23
    * MAX: 8.11989712068417190949e-06; MIN: 4.55304165880576761083e-06; AVG: 5.87527004123097948277e-06
    * MAX: 1.32297583665952345200e-07; MIN: 7.08316258979380108940e-08; AVG: 9.17996884038141907515e-08
    * MAX: 1.19715397463733285021e+303; MIN: 6.88207654271232116151e+302; AVG: 
    * MAX: 1.63816534850844836235e+09; MIN: 8.71393477038887619972e+08; AVG: 1.12932710228105545044e+09
    * MAX: 1.48059405916258228185e+228; MIN: 1.00000000000000000000e+00; AVG: 1.17654550593956854212e+225
    * MAX: 2.42950429685251378942e-06; MIN: 1.30130801545558227872e-06; AVG: 1.67466681047289078733e-06
    * MAX: 5.78521228500328277278e-06; MIN: 4.55653416175927361564e-06; AVG: 4.99360499749438788153e-06
    * MAX: 1.60662819959897420332e+152; MIN: 1.76415083014270607079e+145; AVG: 2.48209122584770163364e+151
    * MAX: 1.03044006703366619604e+00; MIN: 9.24536772410695761870e-01; AVG: 1.00127421632112190153e+00
    * MAX: 1.87932867956597249304e-06; MIN: 1.81382793917883589074e-06; AVG: 1.84642578643368082680e-06
    * MAX: 6.00732534052959178195e+23; MIN: 1.04079205913679418622e+23; AVG: 2.75705195850059600626e+23
    * MAX: 3.47679285817026340055e-06; MIN: 2.43208138672734719421e-06; AVG: 2.94263597878558521952e-06
    * MAX: 5.06934254795865513188e-06; MIN: 2.69654832651955445044e-06; AVG: 3.49473020855376861473e-06
    * MAX: 5.22473936235945402018e-04; MIN: 5.22473936235945402018e-04; AVG: 5.22473936235945402018e-04
    * MAX: 3.54025399755442482189e+227; MIN: 1.00000000000000000000e+00; AVG: 7.84962020215335197930e+225
    * MAX: 2.97630569778828402150e-03; MIN: 1.54608930991173565417e-07; AVG: 4.65235023444028443496e-04
    * MAX: 4.56823076253609627884e-05; MIN: 2.70653326414072026296e-05; AVG: 3.47927662809000424657e-05
    * MAX: 1.10589623905088529909e-05; MIN: 5.88262210443613042798e-06; AVG: 7.62388605173427452456e-06
    * MAX: 1.69514690160355030457e-03; MIN: 1.11022302462515654042e-16; AVG: 3.08817672559632134699e-07
    * MAX: 8.45123467652086901580e-07; MIN: 1.11022302462515654042e-16; AVG: 2.22105169718204522513e-10
    * MAX: 2.40100232491244842140e+110; MIN: 1.34750307888659620479e+109; AVG: 9.14925461185134072020e+109
    * MAX: 4.14854116078223853587e+151; MIN: 1.00000000000000000000e+00; AVG: 5.52799986655937838146e+146
    * MAX: 2.85998354998540094130e-07; MIN: 1.19184973002006699971e-08; AVG: 6.95822627458300113237e-08
    * MAX: 1.66054235695156648944e-07; MIN: 1.41127998176671098918e-10; AVG: 5.98080598772701880039e-08
    * MAX: 1.45204810397814298994e-08; MIN: 7.72391650638581950261e-09; AVG: 1.00102061001094751919e-08
    * MAX: 1.47441825636862589022e-04; MIN: 8.61977500290489473400e-05; AVG: 1.10266258834215824373e-04
    * MAX: 1.05894827506780586646e-06; MIN: 1.11022302462515654042e-16; AVG: 5.35008295556029192736e-11
    * MAX: 1.69347497757407314276e+110; MIN: 1.81192065291034366516e+109; AVG: 7.05007634099762997931e+109
    * MAX: 1.19403590760319136427e+25; MIN: 1.12193345436191337061e+24; AVG: 4.02189371255947064351e+24
    * MAX: 3.35769263193341771512e-06; MIN: 1.11022302462515654042e-16; AVG: 4.40738312243767453824e-11
    * MAX: 9.19604849863463376467e+303; MIN: 5.61820054279692823103e+303; AVG: 
    * MAX: 6.10344912166382869145e-07; MIN: 1.11022302462515654042e-16; AVG: 5.21373435374013528040e-09
    * MAX: 1.87890084619057873283e-04; MIN: 1.00638995973345579671e-04; AVG: 1.29513369919919015243e-04
